,slug,resort_name,state,base_elevation,base_public_lift_elevation,peak_public_lift_elevation,peak_elevation,max_lift_served_run_vert,advertised_acres,skiable_acres,public_skiable_acres,public_lift_served_skiable_acres,public_boundary_area,region
116,lutsen-mountains,Lutsen Mountains,Minnesota,900.0,900.0,1675,1675,775.0,1000.0,550,550,550,550,Midwest
117,mont-sainte-anne,Mont Sainte Anne,Quebec,585.0,585.0,2642,2642,2057.0,547.0,547,547,547,1470,Eastern Canada
118,sundance,Sundance,Utah,6100.0,6100.0,8240,8240,2140.0,540.0,540,540,540,640,Rockies
119,ski-bluewood,Ski Bluewood,Washington,4545.0,4545.0,5670,5670,1125.0,530.0,530,530,430,530,Pacific
120,mount-hood-skibowl,Mount Hood Skibowl,Oregon,3665.0,3665.0,5020,5070,1355.0,960.0,520,520,517,520,Pacific
121,showdown,Showdown,Montana,6870.0,6870.0,8180,8180,1310.0,,500,500,500,500,Rockies
122,stowe,Stowe,Vermont,1260.0,1300.0,3660,3660,2315.0,485.0,485,485,485,1475,Northeast
123,jay-peak,Jay Peak,Vermont,1840.0,1840.0,3830,3858,1990.0,485.0,485,485,485,960,Northeast
124,ski-cooper,Ski Cooper,Colorado,10595.0,10595.0,11740,11740,1145.0,480.0,480,480,480,520,Rockies
125,turner-mountain,Turner Mountain,Montana,3862.0,3862.0,5956,5956,2094.0,,470,470,470,470,Rockies
126,buttermilk,Buttermilk,Colorado,7875.0,7875.0,9875,9875,2000.0,470.0,470,470,470,880,Rockies
127,pico,Pico,Vermont,2000.0,2000.0,3930,3930,1930.0,468.0,468,468,468,575,Northeast
128,bretton-woods,Bretton Woods,New Hampshire,1600.0,1600.0,2990,2990,1390.0,464.0,464,464,464,780,Northeast
129,ski-bromont,Ski Bromont,Quebec,595.0,595.0,1802,1802,1207.0,450.0,450,450,450,960,Eastern Canada
130,mount-abram,Mount Abram,Maine,935.0,945.0,1990,1990,1045.0,450.0,430,430,390,430,Northeast
131,gore,Gore,New York,1055.0,1055.0,3555,3555,2500.0,428.0,428,428,428,1850,Northeast
132,black-mountain,Black Mountain,Maine,970.0,970.0,2018,2274,1048.0,600.0,425,425,255,425,Northeast
133,pebble-creek,Pebble Creek,Idaho,6380.0,6380.0,8510,8510,2130.0,1100.0,415,415,415,415,Rockies
134,boyne,Boyne,Michigan,,,1157,1157,,415.0,415,415,415,415,Midwest
135,mount-baldy-ski-lifts,Mount Baldy Ski Lifts,California,6475.0,6475.0,8560,8560,2080.0,600.0,410,410,410,410,Pacific
136,kelly-canyon,Kelly Canyon,Idaho,5810.0,5810.0,6680,6805,870.0,640.0,410,410,410,410,Rockies
137,le-massif,Le Massif,Quebec,135.0,135.0,2600,2600,2465.0,406.0,406,406,406,1240,Eastern Canada
138,granby-ranch,Granby Ranch,Colorado,8330.0,8330.0,9170,9170,840.0,406.0,406,406,406,450,Rockies
139,loon,Loon,New Hampshire,855.0,855.0,3045,3045,2075.0,403.0,403,403,403,1100,Northeast
140,hoodoo,Hoodoo,Oregon,4682.0,4682.0,5708,5708,1026.0,800.0,400,400,400,400,Pacific
141,diamond-peak,Diamond Peak,Nevada,6730.0,6730.0,8525,8540,1795.0,655.0,400,400,390,400,Pacific
142,mount-bohemia,Mount Bohemia,Michigan,650.0,650.0,1465,1465,815.0,585.0,400,400,400,400,Midwest
143,ski-land,Ski Land,Alaska,1370.0,1400.0,2461,2461,1061.0,,400,400,395,400,Pacific
144,maverick-mountain,Maverick Mountain,Montana,6845.0,6970.0,8430,8430,1460.0,,400,400,400,400,Rockies
145,pomerelle,Pomerelle,Idaho,7715.0,7715.0,8655,8655,940.0,,390,390,390,390,Rockies
146,the-highlands,The Highlands,Michigan,780.0,780.0,1313,1313,525.0,435.0,385,385,385,385,Midwest
147,titus,Titus,New York,1050.0,1050.0,2000,2000,950.0,380.0,380,380,380,450,Northeast
148,alpental,Alpental,Washington,3145.0,3145.0,5440,5522,2295.0,825.0,375,375,375,375,Pacific
149,pine-creek,Pine Creek,Wyoming,6865.0,6865.0,8220,8220,1355.0,370.0,370,370,370,400,Rockies
150,snow-king,Snow King,Wyoming,6235.0,6235.0,7925,8005,1690.0,500.0,365,365,365,365,Rockies
151,red-river,Red River,New Mexico,8645.0,8645.0,10274,10274,1629.0,,365,365,365,365,Rockies
152,blue-mountain,Blue Mountain,Ontario,758.0,758.0,1475,1475,707.0,364.0,364,364,364,690,Eastern Canada
153,terry-peak,Terry Peak,South Dakota,5920.0,5920.0,6990,6990,1070.0,450.0,350,350,350,350,Midwest
154,kissing-bridge,Kissing Bridge,New York,1230.0,1230.0,1770,1770,530.0,700.0,335,335,335,335,Northeast
